route_id,short_name,long_name,direction,headway,stop_sequence,stop_name,arrival_time,departure_time
10001,FR-01,Khana Pul to NUST,Backward,60,1,Khanna Pul,07:15:00,07:15:00
10001,FR-01,Khana Pul to NUST,Backward,60,2,Zia Masjid,07:17:48,07:18:08
10001,FR-01,Khana Pul to NUST,Backward,60,3,Kuri Road,07:20:08,07:20:28
10001,FR-01,Khana Pul to NUST,Backward,60,4,Iqbal Town,07:22:08,07:22:28
10001,FR-01,Khana Pul to NUST,Backward,60,5,Dhok Kala Khan,07:24:03,07:24:23
10001,FR-01,Khana Pul to NUST,Backward,60,6,Sohan,07:26:03,07:26:23
10001,FR-01,Khana Pul to NUST,Backward,60,7,Faizabad,07:29:03,07:29:23
10001,FR-01,Khana Pul to NUST,Backward,60,8,IJP Metro Station,07:31:33,07:31:53
10001,FR-01,Khana Pul to NUST,Backward,60,9,Potohar Metro Station,07:36:13,07:36:33
10001,FR-01,Khana Pul to NUST,Backward,60,10,MCI Model School,07:38:23,07:38:43
10001,FR-01,Khana Pul to NUST,Backward,60,11,CDA Complain Center,07:40:23,07:40:43
10001,FR-01,Khana Pul to NUST,Backward,60,12,OGTI Stop,07:42:33,07:42:53
10001,FR-01,Khana Pul to NUST,Backward,60,13,Sui Gas Stop,07:44:13,07:44:33
10001,FR-01,Khana Pul to NUST,Backward,60,14,PTCL I-10,07:46:43,07:47:03
10001,FR-01,Khana Pul to NUST,Backward,60,15,IESCO,07:48:33,07:48:53
10001,FR-01,Khana Pul to NUST,Backward,60,16,Kurang Road,07:51:13,07:51:33
10001,FR-01,Khana Pul to NUST,Backward,60,17,Mandi Morh,07:54:13,07:54:33
10001,FR-01,Khana Pul to NUST,Backward,60,18,Sabzi Mandi,07:55:43,07:56:03
10001,FR-01,Khana Pul to NUST,Backward,60,19,Metro CNC,07:58:23,07:58:43
10001,FR-01,Khana Pul to NUST,Backward,60,20,IMC Hospital,08:01:03,08:01:23
10001,FR-01,Khana Pul to NUST,Backward,60,21,PAEC General Hospital,08:02:13,08:02:33
10001,FR-01,Khana Pul to NUST,Backward,60,22,Islamic University,08:05:03,08:05:23
10001,FR-01,Khana Pul to NUST,Backward,60,23,FAST University,08:06:23,08:06:43
10001,FR-01,Khana Pul to NUST,Backward,60,24,NPA,08:08:33,08:08:53
10001,FR-01,Khana Pul to NUST,Backward,60,25,Nust Metro Station,08:13:13,08:13:13
10001,FR-01,Khana Pul to NUST,Backward,60,26,Khanna Pul,08:15:00,08:15:00
10001,FR-01,Khana Pul to NUST,Backward,60,27,Zia Masjid,08:17:48,08:18:08
10001,FR-01,Khana Pul to NUST,Backward,60,28,Kuri Road,08:20:08,08:20:28
10001,FR-01,Khana Pul to NUST,Backward,60,29,Iqbal Town,08:22:08,08:22:28
10001,FR-01,Khana Pul to NUST,Backward,60,30,Dhok Kala Khan,08:24:03,08:24:23
10001,FR-01,Khana Pul to NUST,Backward,60,31,Sohan,08:26:03,08:26:23
10001,FR-01,Khana Pul to NUST,Backward,60,32,Faizabad,08:29:03,08:29:23
10001,FR-01,Khana Pul to NUST,Backward,60,33,IJP Metro Station,08:31:33,08:31:53
10001,FR-01,Khana Pul to NUST,Backward,60,34,Potohar Metro Station,08:36:13,08:36:33
10001,FR-01,Khana Pul to NUST,Backward,60,35,MCI Model School,08:38:23,08:38:43
10001,FR-01,Khana Pul to NUST,Backward,60,36,CDA Complain Center,08:40:23,08:40:43
10001,FR-01,Khana Pul to NUST,Backward,60,37,OGTI Stop,08:42:33,08:42:53
10001,FR-01,Khana Pul to NUST,Backward,60,38,Sui Gas Stop,08:44:13,08:44:33
10001,FR-01,Khana Pul to NUST,Backward,60,39,PTCL I-10,08:46:43,08:47:03
10001,FR-01,Khana Pul to NUST,Backward,60,40,IESCO,08:48:33,08:48:53
10001,FR-01,Khana Pul to NUST,Backward,60,41,Kurang Road,08:51:13,08:51:33
10001,FR-01,Khana Pul to NUST,Backward,60,42,Mandi Morh,08:54:13,08:54:33
10001,FR-01,Khana Pul to NUST,Backward,60,43,Sabzi Mandi,08:55:43,08:56:03
10001,FR-01,Khana Pul to NUST,Backward,60,44,Metro CNC,08:58:23,08:58:43
10001,FR-01,Khana Pul to NUST,Backward,60,45,IMC Hospital,09:01:03,09:01:23
10001,FR-01,Khana Pul to NUST,Backward,60,46,PAEC General Hospital,09:02:13,09:02:33
10001,FR-01,Khana Pul to NUST,Backward,60,47,Islamic University,09:05:03,09:05:23
10001,FR-01,Khana Pul to NUST,Backward,60,48,FAST University,09:06:23,09:06:43
10001,FR-01,Khana Pul to NUST,Backward,60,49,NPA,09:08:33,09:08:53
10001,FR-01,Khana Pul to NUST,Backward,60,50,Nust Metro Station,09:13:13,09:13:13
10001,FR-01,Khana Pul to NUST,Backward,60,51,Khanna Pul,09:15:00,09:15:00
10001,FR-01,Khana Pul to NUST,Backward,60,52,Zia Masjid,09:17:48,09:18:08
10001,FR-01,Khana Pul to NUST,Backward,60,53,Kuri Road,09:20:08,09:20:28
10001,FR-01,Khana Pul to NUST,Backward,60,54,Iqbal Town,09:22:08,09:22:28
10001,FR-01,Khana Pul to NUST,Backward,60,55,Dhok Kala Khan,09:24:03,09:24:23
10001,FR-01,Khana Pul to NUST,Backward,60,56,Sohan,09:26:03,09:26:23
10001,FR-01,Khana Pul to NUST,Backward,60,57,Faizabad,09:29:03,09:29:23
10001,FR-01,Khana Pul to NUST,Backward,60,58,IJP Metro Station,09:31:33,09:31:53
10001,FR-01,Khana Pul to NUST,Backward,60,59,Potohar Metro Station,09:36:13,09:36:33
10001,FR-01,Khana Pul to NUST,Backward,60,60,MCI Model School,09:38:23,09:38:43
10001,FR-01,Khana Pul to NUST,Backward,60,61,CDA Complain Center,09:40:23,09:40:43
10001,FR-01,Khana Pul to NUST,Backward,60,62,OGTI Stop,09:42:33,09:42:53
10001,FR-01,Khana Pul to NUST,Backward,60,63,Sui Gas Stop,09:44:13,09:44:33
10001,FR-01,Khana Pul to NUST,Backward,60,64,PTCL I-10,09:46:43,09:47:03
10001,FR-01,Khana Pul to NUST,Backward,60,65,IESCO,09:48:33,09:48:53
10001,FR-01,Khana Pul to NUST,Backward,60,66,Kurang Road,09:51:13,09:51:33
10001,FR-01,Khana Pul to NUST,Backward,60,67,Mandi Morh,09:54:13,09:54:33
10001,FR-01,Khana Pul to NUST,Backward,60,68,Sabzi Mandi,09:55:43,09:56:03
10001,FR-01,Khana Pul to NUST,Backward,60,69,Metro CNC,09:58:23,09:58:43
10001,FR-01,Khana Pul to NUST,Backward,60,70,IMC Hospital,10:01:03,10:01:23
10001,FR-01,Khana Pul to NUST,Backward,60,71,PAEC General Hospital,10:02:13,10:02:33
10001,FR-01,Khana Pul to NUST,Backward,60,72,Islamic University,10:05:03,10:05:23
10001,FR-01,Khana Pul to NUST,Backward,60,73,FAST University,10:06:23,10:06:43
10001,FR-01,Khana Pul to NUST,Backward,60,74,NPA,10:08:33,10:08:53
10001,FR-01,Khana Pul to NUST,Backward,60,75,Nust Metro Station,10:13:13,10:13:13
10001,FR-01,Khana Pul to NUST,Backward,60,76,Khanna Pul,10:15:00,10:15:00
10001,FR-01,Khana Pul to NUST,Backward,60,77,Zia Masjid,10:17:48,10:18:08
10001,FR-01,Khana Pul to NUST,Backward,60,78,Kuri Road,10:20:08,10:20:28
10001,FR-01,Khana Pul to NUST,Backward,60,79,Iqbal Town,10:22:08,10:22:28
10001,FR-01,Khana Pul to NUST,Backward,60,80,Dhok Kala Khan,10:24:03,10:24:23
10001,FR-01,Khana Pul to NUST,Backward,60,81,Sohan,10:26:03,10:26:23
10001,FR-01,Khana Pul to NUST,Backward,60,82,Faizabad,10:29:03,10:29:23
10001,FR-01,Khana Pul to NUST,Backward,60,83,IJP Metro Station,10:31:33,10:31:53
10001,FR-01,Khana Pul to NUST,Backward,60,84,Potohar Metro Station,10:36:13,10:36:33
10001,FR-01,Khana Pul to NUST,Backward,60,85,MCI Model School,10:38:23,10:38:43
10001,FR-01,Khana Pul to NUST,Backward,60,86,CDA Complain Center,10:40:23,10:40:43
10001,FR-01,Khana Pul to NUST,Backward,60,87,OGTI Stop,10:42:33,10:42:53
10001,FR-01,Khana Pul to NUST,Backward,60,88,Sui Gas Stop,10:44:13,10:44:33
10001,FR-01,Khana Pul to NUST,Backward,60,89,PTCL I-10,10:46:43,10:47:03
10001,FR-01,Khana Pul to NUST,Backward,60,90,IESCO,10:48:33,10:48:53
10001,FR-01,Khana Pul to NUST,Backward,60,91,Kurang Road,10:51:13,10:51:33
10001,FR-01,Khana Pul to NUST,Backward,60,92,Mandi Morh,10:54:13,10:54:33
